Target Category	Email Body
Desktop Hardware	Hey IT support team - my monitor is not turning on at all. I've tried to plug it in again, but still nothing is showing up. Are you able to get me a new one or have someone come take a look at this one? 
Desktop Software	Hey - I just got a new laptop and I need some of the software I had on my old laptop. Can someone help with the install of Adobe Acrobat, Camtasia, and Visual Studio Code
Networking	IT Support team - my wireless internet keeps going in and out on me. I've reset my router so I dont think its on that side, it seems like my laptop just cant stay connected. I may or may not be online, call me at 704-555-1234
Account Access	Hey -  we just got a new team member on the marketing team and I'm trying to get them set up with access to our sharepoint. I believe last time we just sent an access request to IT support and they took care of it
General Question	Hey how do I delete my internet cookies? I saw a movie on netflix about how large companies track data so I wanted to delete my cookies more regularly but dont know how.
Desktop Hardware	Hey team - Im sending this from my phone as my laptop screen is totally cracked. I dropped it on the concrete when getting out of my car at the coffee shop. How do I go about getting a new laptop?
General Question	Hey I got an email that I think might be phishing. Is there a way I can report that to some IT group? I wouldnt want any of my co-workers falling for the email and accidentally giving up company info.
Desktop Software	Please Install google chrome on my laptop, I need a different browser than IE
Desktop Software	Please install office apps on my laptop
Account Access	Please grant my user account access to the network drive Z:\Public\Information Technology\Bots
General Question	Can someone teach me how to use PowerBi
Networking	I am trying to access this work website but it is being blocked, can you please unblock docs.google.com
Desktop Software	My excel file is taking too long to open, how can I open this file on my computer?
Account Access	My password expired today and I am locked out of everything and nobody will answer the phone to reset my password. 
Desktop Hardware	I would like to request 2 new Ipads today since it is the Apple event and they will be cheaper. 
Networking	I am unable to sign into microsoft teams it keeps reporting an error when I try to connect.
Account Access	Hey Team I think I'm locked out of my sharepoint account? Everytime I try to log in I'm getting an error message. I tried to reset my password but the email for password reset has never come. What did I screw up?
General Question	I have been on voluntary leave since march, is there anything that I need to do to make sure all of my stuff is still working?
Desktop Hardware	My computer will not connect to the docking station can someone fix this issue?
Networking	I noticed the hotspot on her Android does not work while she is making a call.  This affects her ability to multitask throughout the day.
General Question	Doug  has requested that a link be added on The Hub under Quick Reference in the Human Resources section to Training. I mentioned to him that I would ask about the possibility that the update was designed to streamline most commonly used resources Associates would be searching from
Account Access	User unable to log into the SAM Website. She can't log into her SAM account because it says she did not register but when she tries to register with SAM, she gets an error stating that she is already registered (User states she did register with SAM).
Desktop Hardware	My left monitor is showing a black screen and I cannot see what I am working on today. 
Account Access	User is trying to register with DUO but user is getting an error that user has already registered and is getting a "the address is invalid" error on Safari.
Account Access	User unable to register with AA. Webpage states that user is already registered. User is trying to register but webpage states that user has already registered (she says she did not).
Account Access	Student is unable to change password or their own. User has the correct SSO phone number in the system and user gets the pin via text, however user gets an error stating that the account does not exist.
General Question	Integration job is sending repeated emails can someone stop this please
General Question	Perform semi-annual Daily Performance audit of all IT systems, who will do this today?
General Question	User reported that he was unable to click on the next option to continue with the module .
Networking	Remote Access Point not providing internet connection but my home wifi works fine.
Desktop Hardware	I recevied the following error message today C:\ Disk Space Alert less that 3GB left. 
Desktop Hardware	I just received a message regarding data usage on my ipad. It seems like every time I go out on a trip, my usage skyrockets. I am trying to figure out what setting I have wrong or how t
Desktop Software	AFTER THIS LAST SYSTEM UPDATE, ALL MY FILES WERE CHANGED FROM PDF FILES TO CHROME FILES. I CAN NOT ACCESS FEATURES OF THESE FILE SUCH AS EDIT THAT I COULD WHEN THEY WERE P
General Question	My phone number is wrong in Workday, can someone help me update it.
Desktop Software	Can we please help James with his O365 license? He is unable to sign into Excel on his iPad.
General Question	Is fingerprinting no longer turned on for Workday MFA?  It doesn't come up for me anymore and I have to get the text with the code every time I log in (many times a day).  
Account Access	I changed my password last week and now am unable to log into Teams
